Source,Experiment,Dog,Trial,Type,Button,Time,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type
CSC_Birdy_Trial6,CSC,Birdy,6,Press,Daxing,52.217,60,60,,Head Tilting,,Right,POINT
CSC_Birdy_Trial7,CSC,Birdy,7,Speak,Food,0,60,60,,Lip/Nose Licking,,,POINT
CSC_Birdy_Trial7,CSC,Birdy,7,Speak,Food,8.403,60,60,,Lip/Nose Licking,,,POINT
CSC_Birdy_Trial7,CSC,Birdy,7,Speak,Food,11.136,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Birdy_Trial7,CSC,Birdy,7,Speak,Food,12.137,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Birdy_Trial7,CSC,Birdy,7,Speak,Food,12.389,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,2.267,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,3.651,60,60,,Food-Directed Behaviors,,Looking at Bowl,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,4.024,60,60,,Food-Directed Behaviors,,Moving Towards Bowl,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,4.889,60,60,,Food-Directed Behaviors,,Touching Bowl,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,6.137,60,60,,Food-Directed Behaviors,,Looking at Bowl,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,7.886,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,8.639,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,10.144,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,10.69,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,12.137,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,13.033,60,60,,Food-Directed Behaviors,,Looking at Bowl,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,13.637,60,60,,Food-Directed Behaviors,,Touching Bowl,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,14.388,60,60,,Food-Directed Behaviors,,Looking at Bowl,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,19.138,60,60,,Food-Directed Behaviors,,Looking at Bowl,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,19.939,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,20.48,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,22.137,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,23.139,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,24.136,60,60,,Food-Directed Behaviors,,Looking at Bowl,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,24.636,60,60,,Food-Directed Behaviors,,Touching Bowl,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,25.389,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,25.887,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,26.139,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,27.889,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,32.138,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,32.886,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,35.137,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,42.885,60,60,,Head Tilting,,Left,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,43.167,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,45.567,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,53.889,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,54.139,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Dex_Trial1,CSC,Dex,1,Speak,Food,56.637,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,2.151,60,60,,Food-Directed Behaviors,,Looking at Bowl,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,2.402,60,60,,Food-Directed Behaviors,,Moving Towards Bowl,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,4.156,60,60,,Food-Directed Behaviors,,Touching Bowl,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,5.917,60,60,,Food-Directed Behaviors,,Looking at Bowl,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,5.919,60,60,,Food-Directed Behaviors,,Touching Bowl,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,11.533,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,13.033,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,22.155,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,27.817,60,60,,Food-Directed Behaviors,,Looking at Bowl,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,43.35,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,45.152,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,54.75,60,60,,Food-Directed Behaviors,,Looking at Bowl,POINT
CSC_Dex_Trial2,CSC,Dex,2,Speak,Outside,55.083,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,1.402,60.011,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,1.902,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,2.652,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,7.717,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,8.817,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,10.583,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,11.433,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,13.117,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,14.888,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,16.637,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,18.386,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,26.634,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,30.137,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,31.641,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,34.892,60.011,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,35.902,60.011,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,44.64,60.011,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,45.137,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,48.95,60.011,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,50.138,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,51.138,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,55.385,60.011,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,59.543,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial3,CSC,Dex,3,Press,Play,60.011,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,4.901,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
